Source,Target,weight
7168,7167,120.0
7169,7167,80.0
7169,7168,120.0
7170,7167,120.0
7170,7168,120.0
7170,7169,120.0
7171,7167,240.0
7171,7168,120.0
7171,7169,240.0
7171,7170,240.0
7171,9426,120.0
7172,7168,240.0
7172,7169,240.0
7172,7171,120.0
7174,7173,120.0
7175,7173,120.0
7175,7174,120.0
7180,7174,120.0
7181,7174,120.0
7181,7177,120.0
7181,7178,120.0
7181,7179,120.0
7185,7232,120.0
7186,9674,120.0
7193,7189,240.0
7198,7180,200.0
7198,7278,128.0
7201,7194,240.0
7208,7207,120.0
7209,7240,40.0
7210,7193,120.0
7210,7200,40.0
7211,7189,120.0
7212,7198,128.0
7213,7185,40.0
7214,7198,40.0
7215,7192,100.0
7215,7196,120.0
7215,7202,120.0
7215,7212,128.0
7216,7194,240.0
7217,7196,100.0
7222,7198,128.0
7223,7198,412.0
7226,7198,120.0
7227,7198,263.0
7227,7201,360.0
7227,7202,120.0
7227,7215,368.0
7228,7240,40.0
7231,7223,40.0
7232,7184,160.0
7232,7207,120.0
7232,7208,40.0
7232,7213,40.0
7232,7220,120.0
7232,7227,120.0
7232,7266,120.0
7232,10062,40.0
7233,7222,40.0
7233,7223,40.0
7235,7209,40.0
7237,7212,128.0
7237,7215,120.0
7237,7227,240.0
7238,7187,360.0
7238,7198,128.0
7239,7198,240.0
7240,7182,40.0
7240,7253,40.0
7240,9675,80.0
7241,7198,240.0
7242,7215,120.0
7243,7215,120.0
7246,7186,360.0
7246,7195,240.0
7246,7199,360.0
7246,7201,360.0
7246,7252,120.0
7247,7182,40.0
7247,7240,40.0
7248,7215,120.0
7249,7198,40.0
7249,7214,40.0
7249,7231,40.0
7250,7200,40.0
7250,7210,40.0
7251,7195,120.0
7251,7201,240.0
7252,7203,120.0
7253,7224,93.333336
7253,7247,40.0
7254,7182,120.0
7254,7227,120.0
7254,7232,120.0
7254,7234,120.0
7254,7240,120.0
7254,7247,120.0
7254,7253,120.0
7255,7200,40.0
7256,7184,120.0
7256,7185,120.0
7256,7198,258.0
7256,7202,120.0
7256,7206,120.0
7256,7215,248.5
7256,7227,135.0
7256,7232,560.0
7256,7237,120.0
7256,7248,120.0
7256,7254,240.0
7256,7343,250.0
7256,7962,160.0
7256,8043,150.0
7256,8067,124.0
7257,7186,120.0
7257,7195,240.0
7257,7246,240.0
7258,7201,240.0
7259,7256,240.0
7261,7213,40.0
7261,7256,240.0
7261,7259,160.0
7262,7201,120.0
7262,7220,80.0
7262,7256,120.0
7262,9703,40.0
7263,7200,244.0
7264,7187,360.0
7264,7190,120.0
7264,7191,120.0
7264,7197,120.0
7264,7198,395.0
7264,7218,240.0
7264,7222,372.0
7264,7223,120.0
7264,7227,182.5
7264,7230,240.0
7264,7238,360.0
7264,7239,248.0
7264,7244,240.0
7264,7256,341.3333
7264,8100,626.0
7265,7198,376.0
7265,7203,160.0
7265,7227,248.0
7265,7235,40.0
7265,7239,240.0
7265,7240,278.0
7265,7246,360.0
7265,7252,120.0
7265,7256,376.0
7265,7264,253.0
7266,7184,40.0
7266,7185,120.0
7266,7192,100.0
7266,7220,140.0
7266,7256,120.0
7266,10062,40.0
7267,7244,240.0
7267,7264,360.0
7268,7222,120.0
7268,7264,240.0
7269,7198,240.0
7269,7264,248.0
7269,7265,240.0
7271,7198,120.0
7271,7264,240.0
7272,7209,40.0
7272,7240,160.0
7272,9665,80.0
7272,9666,120.0
7272,9715,40.0
7272,9729,120.0
7273,7201,240.0
7273,7260,240.0
7274,7218,120.0
7274,7222,120.0
7274,7264,244.0
7274,7271,120.0
7275,7264,360.0
7275,7274,120.0
7276,7227,120.0
7276,7265,128.0
7277,7198,128.0
7278,7222,128.0
7278,7264,248.0
7278,7280,128.0
7279,7247,40.0
7280,7188,120.0
7280,7190,120.0
7280,7191,120.0
7280,7198,884.6666
7280,7212,144.0
7280,7215,128.0
7280,7218,240.0
7280,7219,128.0
7280,7221,120.0
7280,7222,248.0
7280,7223,248.0
7280,7227,263.0
7280,7233,120.0
7280,7234,128.0
7280,7236,120.0
7280,7238,132.0
7280,7239,244.0
7280,7241,240.0
7280,7256,259.3333
7280,7264,550.5
7280,7265,248.0
7280,7268,120.0
7280,7269,244.0
7280,7270,120.0
7280,7271,120.0
7280,7274,228.0
7280,7276,128.0
7280,7277,118.0
7281,7264,240.0
7281,7274,120.0
7281,7275,120.0
7282,7197,120.0
7282,7271,120.0
7282,7274,120.0
7283,7264,120.0
7284,7215,120.0
7284,7256,120.0
7285,7189,120.0
7285,7211,240.0
7286,7198,128.0
7286,7222,120.0
7286,7264,360.0
7286,7280,264.0
7287,7199,240.0
7287,7246,240.0
7287,7252,240.0
7287,7265,240.0
7288,7183,120.0
7288,7196,240.0
7288,7215,120.0
7288,7242,120.0
7288,7266,240.0
7289,7183,110.0
7289,7196,240.0
7289,7215,496.0
7289,7217,100.0
7289,7227,248.0
7289,7242,120.0
7289,7256,131.33333
7289,7288,240.0
7290,7240,40.0
7290,7253,40.0
7291,7184,240.0
7291,7232,80.0
7291,7256,120.0
7291,7266,120.0
7292,7180,200.0
7292,7182,120.0
7292,7196,248.0
7292,7198,275.3333
7292,7202,120.0
7292,7205,120.0
7292,7215,398.25
7292,7222,128.0
7292,7223,259.3333
7292,7227,391.8
7292,7232,518.0
7292,7234,124.0
7292,7237,248.0
7292,7239,376.0
7292,7240,238.0
7292,7243,120.0
7292,7247,120.0
7292,7248,120.0
7292,7253,120.0
7292,7256,1490.1428
7292,7264,769.1428
7292,7265,377.3333
7292,7269,248.0
7292,7276,120.0
7292,7279,120.0
7292,7280,408.5
7292,7284,238.0
7292,7286,278.0
7292,7289,275.3333
7292,7674,353.0
7293,7189,240.0
7293,7193,240.0
7293,7198,734.0
7293,7204,160.0
7293,7211,240.0
7293,7214,120.0
7293,7227,248.0
7293,7246,360.0
7293,7249,40.0
7293,7263,244.0
7293,7278,128.0
7293,7280,120.0
7293,7285,120.0
7294,7264,120.0
7295,7292,120.0
7296,7264,120.0
7297,7185,40.0
7297,7213,40.0
7297,7220,80.0
7297,7225,240.0
7297,7229,40.0
7297,7232,400.0
7297,7256,240.0
7297,7266,480.0
7297,7291,240.0
7298,7200,40.0
7300,7256,270.0
7300,7299,140.0
7300,7301,160.0
7300,8139,270.0
7301,7302,160.0
7301,7318,108.0
7302,7300,160.0
7303,7300,129.33333
7304,7300,150.75
7305,7300,120.0
7306,7300,120.0
7307,7300,120.0
7308,7300,140.0
7309,7300,150.75
7309,7303,120.0
7309,7304,120.0
7309,8139,270.0
7310,7300,120.0
7310,7307,120.0
7311,7300,140.0
7311,7304,120.0
7311,7309,120.0
7311,7316,120.0
7312,7300,140.0
7313,7302,120.0
7314,7300,120.0
7314,7302,120.0
7314,7304,120.0
7314,7309,120.0
7315,7300,108.0
7315,7304,120.0
7315,7306,120.0
7315,7309,120.0
7316,7300,120.0
7316,7302,120.0
7317,7300,120.0
7318,7300,120.0
7318,7309,120.0
7318,7311,120.0
7318,7313,120.0
7319,7315,108.0
7319,7318,120.0
7320,9195,160.0
7321,7300,108.0
7321,7320,120.0
7321,7937,167.0
7322,7321,120.0
7323,7320,122.0
7323,7321,120.0
7323,7658,144.0
7323,7872,270.0
7324,7323,360.0
7325,7323,120.0
7326,7323,240.0
7327,7300,160.0
7327,7320,1562.0
7327,7321,1600.0
7327,7322,120.0
7327,7323,1592.0
7327,7937,174.0
7328,7320,120.0
7328,7323,120.0
7329,7328,124.0
7330,7328,128.0
7331,7328,128.0
7332,7328,120.0
7333,7328,120.0
7336,7328,120.0
7336,7710,270.0
7337,7320,284.0
7337,7323,786.0
7337,7327,618.0
7337,7328,144.0
7337,7329,128.0
7337,7330,128.0
7337,7331,128.0
7337,7334,128.0
7337,7335,120.0
7337,7336,120.0
7337,7567,120.0
7337,7658,160.0
7338,7328,888.0
7338,7337,1014.0
7339,7328,124.0
7340,7328,124.0
7341,7300,160.0
7341,7320,120.0
7341,7321,1554.0
7341,7328,120.0
7343,7300,284.0
7343,7309,108.0
7343,7321,150.0
7343,7327,150.0
7343,7342,270.0
7343,7344,120.0
7344,7345,120.0
7344,7348,120.0
7345,7343,120.0
7345,7348,120.0
7346,7343,120.0
7346,7806,200.0
7346,10291,128.0
7347,7343,120.0
7348,7343,120.0
7349,7320,360.0
7349,7321,244.0
7349,7323,280.0
7349,7327,1112.0
7349,7328,120.0
7349,7337,128.0
7349,7351,850.0
7349,8346,353.0
7351,7180,200.0
7351,7256,1070.0
7351,7292,790.0
7351,7300,108.0
7351,7320,1020.0
7351,7321,1140.0
7351,7327,1060.0
7351,7342,150.0
7351,7343,150.0
7351,7346,150.0
7351,7600,1160.0
7351,7646,150.0
7351,7650,870.0
7351,7685,1000.0
7351,7829,150.0
7353,7653,150.0
7353,7816,150.0
7354,7353,150.0
7355,7180,300.0
7355,7346,124.0
7355,7351,124.0
7355,7823,160.0
7358,7180,200.0
